iter	Passed	Remaining
0	3	342
1	5	249
2	6	201
3	7	171
4	8	156
5	9	146
6	10	140
7	11	134
8	12	129
9	14	128
10	15	124
11	16	123
12	17	120
13	19	117
14	20	114
15	21	111
16	22	110
17	23	107
18	24	105
19	25	103
20	27	101
21	28	99
22	29	97
23	30	96
24	32	98
25	33	96
26	34	94
27	36	92
28	37	91
29	38	89
30	39	87
31	40	86
32	42	85
33	43	83
34	44	82
35	45	80
36	46	79
37	48	78
38	49	77
39	50	75
40	51	74
41	52	71
42	53	70
43	54	69
44	55	68
45	56	66
46	57	65
47	59	64
48	60	63
49	62	62
50	63	60
51	64	59
52	65	58
53	66	56
54	67	55
55	69	54
56	70	52
57	71	51
58	72	50
59	73	49
60	74	47
61	76	46
62	78	45
63	79	44
64	80	43
65	81	42
66	82	40
67	83	39
68	84	38
69	86	37
70	87	35
71	88	34
72	89	33
73	91	32
74	92	30
75	93	29
76	94	28
77	96	27
78	97	25
79	98	24
80	99	23
81	100	22
82	101	20
83	103	19
84	104	18
85	105	17
86	106	15
87	108	14
88	109	13
89	110	12
90	111	11
91	112	9
92	114	8
93	115	7
94	116	6
95	117	4
96	118	3
97	119	2
98	120	1
99	121	0
