iter	Passed	Remaining
0	2	2164
1	3	1715
2	4	1575
3	6	1494
4	7	1549
5	9	1526
6	10	1518
7	11	1485
8	13	1452
9	14	1422
10	15	1397
11	16	1378
12	17	1363
13	19	1374
14	20	1359
15	22	1385
16	24	1388
17	25	1376
18	26	1369
19	27	1356
20	29	1371
21	30	1369
22	32	1362
23	33	1379
24	35	1373
25	36	1378
26	39	1411
27	40	1409
28	42	1410
29	43	1401
30	44	1388
31	45	1376
32	47	1379
33	48	1386
34	50	1394
35	53	1430
36	54	1428
37	57	1454
38	59	1457
39	60	1451
40	61	1440
41	62	1431
42	63	1421
43	65	1420
44	67	1426
45	68	1421
46	70	1423
47	72	1432
48	74	1444
49	75	1439
50	77	1433
51	78	1425
52	79	1417
53	80	1411
54	86	1478
55	87	1476
56	88	1468
57	90	1463
58	91	1458
59	93	1464
60	94	1458
61	95	1451
62	98	1466
63	100	1465
64	104	1497
65	105	1492
66	106	1489
67	108	1484
68	109	1479
69	111	1479
70	114	1504
71	116	1504
72	118	1499
73	119	1493
74	120	1486
75	122	1483
76	123	1476
77	124	1469
78	125	1462
79	130	1495
80	131	1495
81	133	1490
82	133	1477
83	134	1471
84	136	1464
85	137	1457
86	138	1456
87	140	1451
88	141	1445
89	143	1449
90	144	1445
91	145	1440
92	147	1440
93	148	1435
94	149	1428
95	151	1422
96	152	1416
97	153	1409
98	154	1404
99	157	1414
100	158	1413
101	160	1409
102	161	1406
103	162	1400
104	163	1395
105	165	1392
106	166	1388
107	167	1382
108	168	1377
109	169	1372
110	170	1369
111	173	1373
112	175	1377
113	176	1374
114	177	1369
115	179	1364
116	179	1358
117	181	1353
118	182	1348
119	183	1345
120	184	1342
121	188	1354
122	189	1352
123	191	1349
124	193	1352
125	194	1350
126	195	1344
127	196	1341
128	198	1337
129	199	1332
130	200	1328
131	204	1343
132	205	1340
133	206	1336
134	208	1334
135	209	1331
136	210	1326
137	212	1326
138	213	1322
139	214	1318
140	215	1314
141	217	1314
142	219	1313
143	221	1315
144	222	1313
145	224	1310
146	225	1306
147	226	1302
148	227	1298
